Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
06122017;220;A;USD;3,2348;3,2354;1;1
07122017;220;A;USD;3,2886;3,2892;1;1
08122017;220;A;USD;3,2805;3,2811;1;1
11122017;220;A;USD;3,2839;3,2845;1;1
12122017;220;A;USD;3,3143;3,3149;1;1
13122017;220;A;USD;3,303;3,3036;1;1
14122017;220;A;USD;3,3326;3,3332;1;1
15122017;220;A;USD;3,3176;3,3182;1;1
18122017;220;A;USD;3,2875;3,2881;1;1
19122017;220;A;USD;3,2877;3,2883;1;1
20122017;220;A;USD;3,2903;3,2909;1;1
21122017;220;A;USD;3,3039;3,3045;1;1
22122017;220;A;USD;3,3203;3,3209;1;1
26122017;220;A;USD;3,3194;3,32;1;1
27122017;220;A;USD;3,3024;3,3031;1;1
28122017;220;A;USD;3,3074;3,308;1;1
29122017;220;A;USD;3,3074;3,308;1;1
02012018;220;A;USD;3,2691;3,2697;1;1
03012018;220;A;USD;3,2529;3,2535;1;1
04012018;220;A;USD;3,2312;3,2318;1;1
05012018;220;A;USD;3,2403;3,2409;1;1
08012018;220;A;USD;3,2351;3,2357;1;1
09012018;220;A;USD;3,2391;3,2397;1;1
10012018;220;A;USD;3,2461;3,2467;1;1
11012018;220;A;USD;3,2295;3,2301;1;1
12012018;220;A;USD;3,2192;3,2197;1;1
15012018;220;A;USD;3,1957;3,1963;1;1
16012018;220;A;USD;3,2213;3,2219;1;1
17012018;220;A;USD;3,2318;3,2324;1;1
18012018;220;A;USD;3,2123;3,2129;1;1
19012018;220;A;USD;3,2081;3,2087;1;1
22012018;220;A;USD;3,1928;3,1934;1;1
23012018;220;A;USD;3,2243;3,2249;1;1
24012018;220;A;USD;3,1964;3,197;1;1
25012018;220;A;USD;3,138;3,1391;1;1
26012018;220;A;USD;3,1444;3,145;1;1
29012018;220;A;USD;3,1648;3,1655;1;1
30012018;220;A;USD;3,1655;3,1661;1;1
31012018;220;A;USD;3,1618;3,1624;1;1
01022018;220;A;USD;3,1724;3,173;1;1
02022018;220;A;USD;3,2054;3,206;1;1
05022018;220;A;USD;3,2349;3,2355;1;1
06022018;220;A;USD;3,2607;3,2613;1;1
07022018;220;A;USD;3,2461;3,2467;1;1
08022018;220;A;USD;3,2686;3,2692;1;1
09022018;220;A;USD;3,2815;3,2821;1;1
14022018;220;A;USD;3,2531;3,2536;1;1
15022018;220;A;USD;3,2202;3,2208;1;1
16022018;220;A;USD;3,2375;3,2381;1;1
19022018;220;A;USD;3,2341;3,2347;1;1
20022018;220;A;USD;3,2501;3,2507;1;1
21022018;220;A;USD;3,2549;3,2555;1;1
22022018;220;A;USD;3,2592;3,2598;1;1
23022018;220;A;USD;3,2411;3,2417;1;1
26022018;220;A;USD;3,2345;3,2351;1;1
27022018;220;A;USD;3,2377;3,2383;1;1
28022018;220;A;USD;3,2443;3,2449;1;1
01032018;220;A;USD;3,2614;3,262;1;1
02032018;220;A;USD;3,2608;3,2614;1;1
05032018;220;A;USD;3,2576;3,2582;1;1
06032018;220;A;USD;3,224;3,2246;1;1
07032018;220;A;USD;3,2312;3,2318;1;1
08032018;220;A;USD;3,2512;3,2518;1;1
09032018;220;A;USD;3,249;3,2496;1;1
12032018;220;A;USD;3,26;3,2606;1;1
13032018;220;A;USD;3,2486;3,2492;1;1
14032018;220;A;USD;3,2578;3,2584;1;1
15032018;220;A;USD;3,2853;3,2859;1;1
16032018;220;A;USD;3,2899;3,2905;1;1
19032018;220;A;USD;3,2905;3,2911;1;1
20032018;220;A;USD;3,2975;3,2981;1;1
21032018;220;A;USD;3,2915;3,2921;1;1
22032018;220;A;USD;3,3027;3,3033;1;1
23032018;220;A;USD;3,3035;3,3041;1;1
26032018;220;A;USD;3,3028;3,3034;1;1
27032018;220;A;USD;3,325;3,3256;1;1
28032018;220;A;USD;3,3374;3,338;1;1
